Fiscal Year,Current and Other Assets,Capital Assets,Deferred outflows,Total Liabilities,Deferred inflows,Total revenues,Operating Grants & Contributions,Capital Grants & Contributions,Debt service / interest,Government capital assets not being depreciated,Government capital assets being depreciated,Business capital assets not being depreciated,Business capital assets being depreciated
2015,292181167,742415956,14855302,422075597,1951111,302003768,33372811,5314887,8019147,90012779,856446163,24855896,386592409
2016,360042521,786265103,37229654,537896768,534077,350682282,37061384,25460165,12374896,119416631,857058869,32199439,414786171
2017,341784006,848142976,33742243,623754819,,363463548,35620860,21197657,12108299,178136391,881710595,38277793,436099617
2018,339337577,890100114,16447989,612600117,17106982,382417360,35333965,15955506,12481762,209819914,929414228,29210840,461444005
2019,433931241,922289563,43569629,749031656,5740161,418814298,39896586,24117214,14987576,214848932,991496881,33480222,432339063
2020,413881196,948902958,23836726,679577059,22603802,434961284,63880705,10486235,12689169,227316753,1032253541,39212965,449698086
2021,508569448,979610521,23536997,765037939,22244596,439886320,45398240,22520679,14004156,147042631,1158411197,39637614,472139576
2022,498557276,1045312254,36188144,813117506,59958851,483336993,48357006,28014443,14495589,175007456,1231051620,39284881,508438066
2023,547434375,1096425731,66339133,859567110,21297939,557289924,53872349,40872410,17243831,236031577,1252604820,51836265,530801790
2024,619331220,1140967657,53487757,842559934,22456328,608124964,62005076,28860165,19307505,265296838,1303325077,53295744,556855039